name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,current_price,was_home,yellow_cards,name_p,code,position,init_price,team_code
Jack Jenkins,0,0,0,0,0.0,599,142,0,0,0.0,0.0,2020-12-27T12:00:00Z,0,90,0,0,0,0,15,0,975,0,1,0.0,0,91,197,106,45,True,0,JKJNKNS,492374,3,45,2
Kelechi Iheanacho,0,0,0,0,0.0,233,143,0,0,0.0,0.0,2020-12-26T12:30:00Z,0,1,0,0,0,0,15,0,21030,2,2,0.0,0,-270,468,738,56,True,0,AHNKKLX,173515,4,62,13
Craig Dawson,0,0,0,0,0.0,576,147,0,0,0.0,0.0,2020-12-27T14:15:00Z,0,36,0,0,0,0,15,0,1713,2,2,0.0,0,-10,125,135,45,True,0,KRKTSN,60232,2,45,21
Anthony Gordon,0,0,5,0,11.5,168,146,0,0,2.2,8.2,2020-12-26T20:00:00Z,54,49,0,0,0,0,15,0,76616,1,0,2.0,1,288,6707,6419,43,False,0,AN0NKRTN,232826,3,43,11
Kyle Walker-Peters,0,2,25,1,1.3,375,141,0,0,3.6,32.8,2020-12-26T15:00:00Z,90,54,0,0,0,0,15,0,1080041,0,0,2.0,8,61118,85120,24002,47,False,0,KLPTRSLKR,158534,2,47,20
Sam Johnstone,0,0,10,0,0.0,417,144,1,0,0.9,9.4,2020-12-27T16:30:00Z,90,14,0,0,0,0,15,1,153983,1,1,0.0,2,9530,18489,8959,45,False,0,JNSTNSM,101982,1,46,35
Rayan Ait Nouri,0,0,6,0,0.9,563,148,0,0,0.4,3.4,2020-12-27T19:15:00Z,15,6,0,0,0,0,15,0,12918,1,1,0.0,1,-2339,317,2656,50,True,0,ATNRRN,448514,2,50,39
Joel Matip,1,3,31,0,16.0,246,144,0,0,5.0,33.8,2020-12-27T16:30:00Z,59,35,0,0,0,0,15,0,207432,1,1,0.0,7,133656,138631,4975,55,True,0,JLMTP,60914,2,54,14
Gabriel Fernando de Jesus,0,0,0,0,0.0,282,145,0,0,0.0,0.0,2020-12-26T20:00:00Z,0,4,0,0,0,0,15,0,83167,0,2,0.0,0,-46137,3104,49241,91,True,0,TFRNNTKPRLJSS,205651,4,91,43
Kevin De Bruyne,0,0,13,1,35.0,272,145,0,0,8.1,14.8,2020-12-26T20:00:00Z,90,4,0,0,0,0,15,0,1893440,0,2,31.0,3,-142973,55242,198215,118,True,0,PRNTKFN,61366,3,118,43
Gylfi Sigurdsson,0,3,37,1,28.7,150,146,0,1,9.0,40.8,2020-12-26T20:00:00Z,90,49,0,0,0,0,15,0,98720,1,0,20.0,11,18492,23430,4938,68,False,0,KLFSKRTSN,55422,3,68,11
Fernando Luiz Rosa,0,0,10,0,3.5,266,145,0,0,1.0,6.0,2020-12-26T20:00:00Z,33,4,0,0,0,0,15,0,52256,0,2,0.0,1,-131,1793,1924,54,True,0,FRNNTLSRS,27789,2,54,43
FabiÃ¡n Balbuena,0,0,15,0,0.6,443,147,2,0,2.4,23.4,2020-12-27T14:15:00Z,90,36,0,0,0,0,15,0,164612,2,2,0.0,1,12925,26234,13309,44,True,0,PLPNFPN,166640,2,41,21
Kenneth Zohore,0,0,0,0,0.0,416,144,0,0,0.0,0.0,2020-12-27T16:30:00Z,0,14,0,0,0,0,15,0,2701,1,1,0.0,0,-58,30,88,48,False,0,KN0SHR,82078,4,48,35
Eric Dier,0,0,16,0,0.3,391,148,1,0,2.2,21.0,2020-12-27T19:15:00Z,90,39,0,0,0,0,15,0,391134,1,1,1.0,2,28673,58595,29922,50,False,0,TRRK,93264,2,46,6
Phil Foden,0,0,2,0,0.3,284,145,0,0,0.0,0.0,2020-12-26T20:00:00Z,1,4,0,0,0,0,15,0,280598,0,2,0.0,1,-28199,11098,39297,63,True,0,FTNFL,209244,3,61,43
James Garner,0,0,0,0,0.0,317,143,0,0,0.0,0.0,2020-12-26T12:30:00Z,0,13,0,0,0,0,15,0,3637,2,2,0.0,0,-78,40,118,44,False,0,KRNRJMS,232928,3,44,1
Riyad Mahrez,0,0,0,0,0.0,275,145,0,0,0.0,0.0,2020-12-26T20:00:00Z,0,4,0,0,0,0,15,0,497052,0,2,0.0,0,-160171,39576,199747,83,True,0,MRSRT,103025,3,81,43
Trent Alexander-Arnold,0,0,17,0,73.0,259,144,1,0,10.7,18.0,2020-12-27T16:30:00Z,90,35,0,0,0,0,15,0,1121933,1,1,16.0,2,82689,97698,15009,72,True,0,ALKSNTRRNLTTRNT,169187,2,78,14
Jake Livermore,0,0,0,0,0.0,409,144,0,0,0.0,0.0,2020-12-27T16:30:00Z,0,14,0,0,0,0,15,0,4340,1,1,0.0,0,-469,44,513,47,False,0,JKLFRMR,49944,3,47,35
Niels Nkounkou,0,0,0,0,0.0,559,146,0,0,0.0,0.0,2020-12-26T20:00:00Z,0,49,0,0,0,0,15,0,20387,1,0,0.0,0,-814,1093,1907,40,False,0,NLSNKNK,495542,2,40,11
Sokratis Papastathopoulos,0,0,0,0,0.0,2,139,0,0,0.0,0.0,2020-12-26T17:30:00Z,0,8,0,0,0,0,15,0,4918,1,3,0.0,0,-62,8,70,48,True,0,PPST0PLSSKRTS,39476,2,48,3
