assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,team_a_score,team_h_score,threat,transfers_balance,transfers_in,transfers_out,current_price,was_home,yellow_cards,position,init_price,team_code,gw,id,total_points,total_points_1,total_points_2,total_points_3,total_points_4
0,0,0,0,0.0,531,324,0,0,0.0,0.0,0,7,0,0,0,0,0,2401,0.0,2.0,0.0,-2,24,26,44,1,0,1.0,44.0,14.0,33,200720,0,0,0,0,0
0,0,0,0,0.0,531,334,0,0,0.0,0.0,0,36,0,0,0,0,0,2414,3.0,1.0,0.0,-10,10,20,44,0,0,1.0,44.0,14.0,34,200720,0,0,0,0,-999
0,0,0,0,0.0,531,344,0,0,0.0,0.0,0,90,0,0,0,0,0,2430,1.0,1.0,0.0,-4,19,23,44,1,0,1.0,44.0,14.0,35,200720,0,0,0,-999,-999
0,0,0,0,0.0,531,351,0,0,0.0,0.0,0,3,0,0,0,0,0,2447,1.0,2.0,0.0,-3,16,19,44,0,0,1.0,44.0,14.0,36,200720,0,0,-999,-999,-999
0,0,0,0,0.0,531,364,0,0,0.0,0.0,0,8,0,0,0,0,0,2460,3.0,5.0,0.0,-1,18,19,44,1,0,1.0,44.0,14.0,37,200720,0,-999,-999,-999,-999
0,0,0,0,0.0,531,378,0,0,0.0,0.0,0,4,0,0,0,0,0,2485,3.0,1.0,0.0,3,32,29,44,0,0,1.0,44.0,14.0,38,200720,-999,-999,-999,-999,-999
0,0,0,0,0.0,523,6,0,0,0.0,0.0,0,7,0,0,0,0,0,30815,1.0,3.0,0.0,0,0,0,75,1,0,3.0,73.0,6.0,1,200826,1,1,1,0,0
0,0,3,0,0.3,523,16,0,0,0.0,0.0,5,43,0,0,0,0,0,34541,2.0,2.0,0.0,-6157,3713,9870,75,0,0,3.0,73.0,6.0,2,200826,1,1,0,0,0
0,0,4,0,23.6,523,28,0,0,2.7,2.4,28,4,0,0,0,0,0,29202,1.0,0.0,1.0,-7140,1318,8458,75,1,0,3.0,73.0,6.0,3,200826,1,0,0,0,0
0,0,2,0,0.5,523,31,0,0,0.7,6.4,11,3,0,0,0,0,0,26004,2.0,2.0,0.0,-4940,1011,5951,74,0,0,3.0,73.0,6.0,4,200826,0,0,0,0,0
0,0,0,0,0.0,523,48,0,0,0.0,0.0,0,31,0,0,0,0,0,21038,0.0,4.0,0.0,-5851,536,6387,74,1,0,3.0,73.0,6.0,5,200826,0,0,0,0,1
0,0,0,0,0.0,523,56,0,0,0.0,0.0,0,13,0,0,0,0,0,18064,1.0,2.0,0.0,-3164,42,3206,73,0,0,3.0,73.0,6.0,6,200826,0,0,0,1,1
0,0,0,0,0.0,523,69,0,0,0.0,0.0,0,20,0,0,0,0,0,16500,1.0,2.0,0.0,-1630,38,1668,73,1,0,3.0,73.0,6.0,7,200826,0,0,1,1,2
0,0,0,0,0.0,523,72,0,0,0.0,0.0,0,36,0,0,0,0,0,15867,0.0,3.0,0.0,-686,38,724,73,0,0,3.0,73.0,6.0,8,200826,0,1,1,2,0
0,0,0,0,0.0,523,89,0,0,0.0,0.0,0,57,0,0,0,0,0,15483,1.0,1.0,0.0,-413,57,470,73,1,0,3.0,73.0,6.0,9,200826,1,1,2,0,1
0,0,3,0,0.0,523,94,0,0,0.3,0.6,2,14,0,0,0,0,0,15523,1.0,2.0,2.0,-48,93,141,73,0,0,3.0,73.0,6.0,10,200826,1,2,0,1,1
0,0,2,0,0.3,523,106,1,0,0.4,3.2,17,11,0,0,0,0,0,15873,1.0,1.0,0.0,20,240,220,73,0,0,3.0,73.0,6.0,11,200826,2,0,1,1,0
0,0,15,0,33.3,523,119,1,0,5.7,10.8,90,49,0,0,0,0,0,17557,1.0,1.0,13.0,1271,1552,281,73,1,0,3.0,73.0,6.0,12,200826,0,1,1,0,0
